Time;Day_of_week;Sex_of_driver;Educational_level;Vehicle_driver_relation;Driving_experience;Type_of_vehicle;Owner_of_vehicle;Service_year_of_vehicle;Defect_of_vehicle;Area_accident_occured;Lanes_or_Medians;Road_allignment;Types_of_Junction;Road_surface_type;Road_surface_conditions;Light_conditions;Weather_conditions;Type_of_collision;Number_of_vehicles_involved;Number_of_casualties;Vehicle_movement;Age_band_of_casualty;Pedestrian_movement;Cause_of_accident;Accident_severity
15:10:00;Thursday;Male;Junior high school;Employee;2-5yr;Lorry (11?40Q);Owner;5-10yrs;No defect; Church areas;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Collision with animals;1;1;Moving Backward;18-30;Not a Pedestrian;Overtaking;Serious Injury
12:11:00;Thursday;Male;Elementary school;Employee;5-10yr;Lorry (41?100Q);Owner;unknown;No defect;  Recreational areas;other;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Other;2;1;Getting off;31-50;Not a Pedestrian;Overloading;Serious Injury
12:11:00;Thursday;Male;Junior high school;Employee;Above 10yr;Public (12 seats);Owner;unknown;unknown; Industrial areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Rollover;2;1;Reversing;18-30;Not a Pedestrian;Changing lane to the right;Serious Injury
18:36:00;Wednesday;Male;unknown;Unknown;unknown;unknown;unknown;unknown;unknown;Residential areas;other;unknown;Crossing;Asphalt roads with some distress;Dry;Daylight;Normal;Collision with animals;2;3;Turnover;na;Not a Pedestrian;Improper parking;Slight Injury
18:36:00;Wednesday;Male;Junior high school;Employee;2-5yr;Taxi;Owner;Above 10yr;No defect;Residential areas;other;Tangent road with rolling terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Rollover;2;3;Going straight;31-50;Not a Pedestrian;Other;Slight Injury
18:36:00;Wednesday;Unknown;Junior high school;Employee;5-10yr;unknown;Owner;2-5yrs;No defect;Office areas;Double carriageway (median);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;3;Going straight;Under 18;Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle;Changing lane to the left;Slight Injury
14:35:00;Friday;Male;Above high school;Employee;2-5yr;Automobile;Owner;2-5yrs;No defect;  Market areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with animals;1;1;Going straight;na;Not a Pedestrian;Changing lane to the right;Slight Injury
12:25:00;Tuesday;Unknown;unknown;Unknown;unknown;unknown;unknown;unknown;unknown;Unknown;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;31-50;Not a Pedestrian;No priority to pedestrian;Slight Injury
12:25:00;Tuesday;Male;unknown;Employee;1-2yr;Lorry (41?100Q);Owner;unknown;No defect; Industrial areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Fall from vehicles;2;1;Going straight;18-30;Not a Pedestrian;Overspeed;Slight Injury
15:30:00;Monday;Male;Junior high school;Employee;2-5yr;Automobile;Owner;unknown;No defect;Residential areas;Two-way (divided with solid lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Collision with roadside-parked vehicles;1;1;Going straight;na;Not a Pedestrian;Changing lane to the left;Slight Injury
18:10:00;Thursday;Male;Junior high school;Employee;Above 10yr;Automobile;Governmental;Below 1yr;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside-parked vehicles;1;1;Moving Backward;18-30;Not a Pedestrian;No priority to vehicle;Slight Injury
15:25:00;Thursday;Male;Junior high school;Employee;Below 1yr;Lorry (41?100Q);Owner;5-10yrs;No defect;Other;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Rollover;2;1;Reversing;18-30;Not a Pedestrian;Changing lane to the right;Slight Injury
15:25:00;Thursday;Unknown;Junior high school;Employee;2-5yr;Automobile;Governmental;unknown;No defect;Residential areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;1;Turnover;na;Not a Pedestrian;No distancing;Slight Injury
13:57:00;Saturday;Male;Junior high school;Employee;Below 1yr;Automobile;Owner;1-2yr;No defect;Rural village areas;Undivided Two way;Gentle horizontal curve;O Shape;Asphalt roads;Dry;Daylight;Normal;Collision with animals;2;1;Going straight;18-30;Not a Pedestrian;No priority to pedestrian;Slight Injury
13:57:00;Saturday;Male;High school;Employee;5-10yr;Automobile;Owner;2-5yrs;No defect;Rural village areas;Undivided Two way;Gentle horizontal curve;O Shape;Asphalt roads;Dry;Daylight;Normal;Fall from vehicles;2;1;Going straight;Under 18;Unknown or other;No distancing;Slight Injury
20:30:00;Friday;Male;Above high school;Employee;1-2yr;Taxi;Owner;unknown;No defect;Office areas;Double carriageway (median);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with roadside-parked vehicles;2;2;Going straight;na;Not a Pedestrian;No priority to vehicle;Slight Injury
20:30:00;Friday;Male;Junior high school;Employee;Below 1yr;unknown;Owner;2-5yrs;No defect;Residential areas;Undivided Two way;Gentle horizontal curve;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with animals;2;2;Going straight;18-30;Not a Pedestrian;Other;Slight Injury
20:30:00;Friday;Male;unknown;Unknown;unknown;unknown;Owner;unknown;unknown;Residential areas;other;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with animals;2;2;Going straight;na;Not a Pedestrian;Driving carelessly;Slight Injury
16:30:00;Sunday;Male;High school;Employee;Below 1yr;Automobile;Owner;unknown;7; Outside rural areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with pedestrians;2;1;Going straight;18-30;Not a Pedestrian;Changing lane to the left;Slight Injury
16:30:00;Sunday;Male;High school;Employee;Below 1yr;Pick up upto 10Q;Owner;Above 10yr;unknown;Residential areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Driving carelessly;Slight Injury
21:50:00;Sunday;Male;unknown;Unknown;unknown;unknown;Owner;5-10yrs;5; Church areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;2;Going straight;31-50;Not a Pedestrian;Changing lane to the left;Slight Injury
21:50:00;Sunday;Male;High school;Employee;2-5yr;Automobile;Owner;unknown;No defect;Office areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with pedestrians;2;2;Going straight;18-30;Not a Pedestrian;No priority to vehicle;Slight Injury
09:12:00;Wednesday;Male;Junior high school;Employee;Above 10yr;Public (12 seats);Owner;Unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with mountainous terrain and;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;Under 18;Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle;No distancing;Slight Injury
09:12:00;Wednesday;Male;Junior high school;Employee;Above 10yr;Public (13?45 seats);Governmental;unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Escarpments;Y Shape;Gravel roads;Dry;Daylight;Normal;Collision with roadside objects;2;1;Going straight;Under 18;Not a Pedestrian;Changing lane to the right;Slight Injury
14:40:00;Friday;Male;Junior high school;Employee;5-10yr;Lorry (11?40Q);Owner;2-5yrs;unknown;Other;Undivided Two way;Tangent road with mountainous terrain and;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;1;Going straight;na;Not a Pedestrian;Changing lane to the right;Serious Injury
10:36:00;Friday;Male;Junior high school;Employee;1-2yr;Stationwagen;Owner;2-5yrs;unknown;Other;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Driving at high speed;Slight Injury
10:36:00;Friday;Male;Unknown;Employee;Below 1yr;Ridden horse;Owner;Unknown;No defect;Residential areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;No distancing;Slight Injury
18:19:00;Monday;Male;Junior high school;Employee;Below 1yr;Stationwagen;Owner;unknown;unknown;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Rollover;2;1;Going straight;na;Not a Pedestrian;Changing lane to the right;Slight Injury
18:19:00;Monday;Male;High school;Employee;2-5yr;Automobile;Owner;Below 1yr;unknown;Other;Undivided Two way;Tangent road with mild grade and flat terrain;Crossing;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;Changing lane to the left;Slight Injury
19:12:00;Tuesday;Male;Junior high school;Owner;1-2yr;Automobile;Owner;5-10yrs;unknown;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Other;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;Over 51;Not a Pedestrian;Getting off the vehicle improperly;Slight Injury
19:12:00;Tuesday;Male;Junior high school;Employee;5-10yr;Other;Governmental;5-10yrs;No defect;Other;Undivided Two way;Tangent road with flat terrain;Other;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Other;Slight Injury
11:38:00;Saturday;Male;Elementary school;Employee;2-5yr;Taxi;Owner;2-5yrs;No defect;Other;Double carriageway (median);Tangent road with mild grade and flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with pedestrians;2;3;Going straight;31-50;Not a Pedestrian;Other;Slight Injury
11:38:00;Saturday;Male;Elementary school;Owner;5-10yr;Automobile;Owner;unknown;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;3;Going straight;31-50;Not a Pedestrian;No distancing;Slight Injury
11:38:00;Saturday;Male;Junior high school;Employee;Above 10yr;Stationwagen;Owner;2-5yrs;unknown; Church areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;3;Going straight;na;Not a Pedestrian;No priority to vehicle;Slight Injury
11:38:00;Saturday;Unknown;Junior high school;Employee;5-10yr;Automobile;Owner;5-10yrs;unknown;Other;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;3;Going straight;18-30;Not a Pedestrian;Overtaking;Slight Injury
13:30:00;Thursday;Male;High school;Employee;5-10yr;Public (12 seats);Organization;2-5yrs;unknown; Industrial areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Rollover;2;1;Going straight;31-50;Not a Pedestrian;No priority to pedestrian;Slight Injury
13:30:00;Thursday;Male;Junior high school;Employee;5-10yr;unknown;Owner;unknown;No defect;Residential areas;Double carriageway (median);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;No distancing;Slight Injury
12:39:00;Tuesday;Unknown;Junior high school;Employee;Above 10yr;Automobile;Governmental;Above 10yr;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Unknown;Asphalt roads;Wet or damp;Daylight;Raining;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Changing lane to the right;Slight Injury
12:39:00;Tuesday;Male;Junior high school;unknown;1-2yr;Lorry (41?100Q);Owner;unknown;No defect;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Unknown;Gravel roads;Wet or damp;Daylight;Raining;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;Driving carelessly;Slight Injury
12:30:00;Friday;Male;Junior high school;Employee;2-5yr;unknown;Owner;unknown;No defect; Industrial areas;Unknown;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Changing lane to the right;Slight Injury
12:30:00;Friday;Male;Junior high school;Employee;1-2yr;Public (> 45 seats);Owner;1-2yr;No defect; Industrial areas;Double carriageway (median);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Overtaking;Slight Injury
16:55:00;Sunday;Male;unknown;unknown;unknown;unknown;Owner;unknown;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;1;Going straight;Under 18;Not a Pedestrian;Other;Slight Injury
16:55:00;Sunday;Male;Elementary school;Employee;5-10yr;Public (12 seats);Organization;Above 10yr;unknown; Hospital areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Driving to the left;Slight Injury
18:25:00;Monday;Female;Junior high school;Employee;5-10yr;Public (12 seats);Owner;Unknown;unknown;Office areas;One way;Tangent road with flat terrain;No junction;Earth roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;Over 51;Not a Pedestrian;Driving at high speed;Slight Injury
18:25:00;Monday;Male;Junior high school;Employee;Above 10yr;Automobile;Owner;2-5yrs;No defect; Church areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;1;Going straight;31-50;Not a Pedestrian;Unknown;Slight Injury
13:01:00;Thursday;Unknown;Junior high school;Employee;2-5yr;unknown;Organization;5-10yrs;No defect; Hospital areas;Undivided Two way;Tangent road with mountainous terrain and;O Shape;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;2;1;Going straight;31-50;Not a Pedestrian;Changing lane to the right;Slight Injury
13:01:00;Thursday;Male;Junior high school;Owner;Above 10yr;Automobile;Owner;Above 10yr;No defect;Office areas;other;Tangent road with flat terrain;O Shape;unknown;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Unknown;18-30;Not a Pedestrian;No distancing;Slight Injury
13:45:00;Wednesday;Male;Junior high school;Employee;2-5yr;Lorry (41?100Q);Owner;2-5yrs;No defect;Other;Two-way (divided with broken lines road marking);Escarpments;No junction;Gravel roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Other;Slight Injury
13:45:00;Wednesday;Male;Elementary school;Other;5-10yr;Public (12 seats);Owner;1-2yr;unknown;Office areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;18-30;Not a Pedestrian;No priority to vehicle;Slight Injury
18:45:00;Monday;Male;Elementary school;Employee;5-10yr;Lorry (11?40Q);Owner;2-5yrs;unknown;Office areas;Two-way (divided with broken lines road marking);Tangent road with mountainous terrain and;Crossing;unknown;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Reversing;18-30;Not a Pedestrian;Changing lane to the left;Slight Injury
18:45:00;Monday;Male;Junior high school;Unknown;5-10yr;Automobile;Owner;unknown;No defect;Other;Double carriageway (median);Steep grade downward with mountainous terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Collision with roadside objects;2;1;Going straight;na;Not a Pedestrian;No priority to pedestrian;Slight Injury
11:02:00;Thursday;Male;Junior high school;Employee;5-10yr;Automobile;Owner;1-2yr;No defect;Office areas;Undivided Two way;Tangent road with mild grade and flat terrain;No junction;Earth roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;4;Going straight;18-30;Not a Pedestrian;Overtaking;Slight Injury
11:02:00;Thursday;Male;Elementary school;Employee;Above 10yr;Automobile;Owner;unknown;No defect;Residential areas;Undivided Two way;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;4;Going straight;Over 51;Not a Pedestrian;Driving carelessly;Slight Injury
11:02:00;Thursday;Male;Junior high school;unknown;Below 1yr;Bajaj;Owner;Unknown;unknown;Other;Two-way (divided with broken lines road marking);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;4;Going straight;na;Not a Pedestrian;No priority to vehicle;Slight Injury
11:02:00;Thursday;Male;Junior high school;Employee;5-10yr;Public (12 seats);Owner;2-5yrs;unknown;Office areas;Double carriageway (median);Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;4;Going straight;31-50;Not a Pedestrian;No priority to pedestrian;Slight Injury
15:55:00;Tuesday;Male;Elementary school;Employee;1-2yr;Lorry (11?40Q);Owner;5-10yrs;unknown;Office areas;Undivided Two way;Tangent road with mountainous terrain and;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;1;Turnover;31-50;Not a Pedestrian;Changing lane to the right;Serious Injury
15:00:00;Wednesday;Unknown;unknown;Unknown;unknown;unknown;unknown;unknown;unknown;Office areas;other;Tangent road with flat terrain;No junction;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;1;Going straight;na;Not a Pedestrian;Driving carelessly;Slight Injury
20:00:00;Sunday;Male;Junior high school;Employee;Above 10yr;unknown;Owner;5-10yrs;No defect;Other;Two-way (divided with broken lines road marking);Tangent road with mild grade and flat terrain;Y Shape;Earth roads;Dry;Darkness - lights lit;Normal;Collision with roadside objects;2;1;Going straight;18-30;Not a Pedestrian;Changing lane to the right;Slight Injury
20:00:00;Sunday;Male;High school;Owner;2-5yr;Automobile;Owner;unknown;No defect; Church areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;Changing lane to the right;Slight Injury
18:48:00;Wednesday;Male;Junior high school;Employee;1-2yr;Lorry (11?40Q);Owner;Unknown;No defect; Industrial areas;Undivided Two way;Tangent road with flat terrain;Crossing;Asphalt roads;Wet or damp;Darkness - lights lit;Normal;Collision with pedestrians;2;1;Going straight;31-50;Not a Pedestrian;Changing lane to the left;Serious Injury
18:48:00;Wednesday;Male;Junior high school;Employee;1-2yr;Lorry (41?100Q);Owner;1-2yr;No defect;Office areas;Double carriageway (median);Tangent road with flat terrain;Crossing;Asphalt roads;Wet or damp;Darkness - lights lit;Normal;Collision with roadside objects;2;1;Going straight;18-30;Not a Pedestrian;Overturning;Serious Injury
15:55:00;Sunday;Male;Above high school;Owner;2-5yr;Pick up upto 10Q;Owner;Unknown;No defect; Church areas;Undivided Two way;Tangent road with flat terrain;Unknown;Asphalt roads;Dry;Daylight;Normal;Collision with roadside objects;1;2;Going straight;na;Not a Pedestrian;Driving carelessly;Slight Injury
15:55:00;Sunday;Male;unknown;Unknown;unknown;Lorry (11?40Q);Owner;unknown;unknown;Office areas;Undivided Two way;Tangent road with flat terrain;Unknown;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;1;2;Turnover;Under 18;Not a Pedestrian;No distancing;Slight Injury
23:25:00;Wednesday;Unknown;Elementary school;Owner;2-5yr;Stationwagen;Owner;unknown;No defect;Office areas;other;Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Rollover;2;3;Going straight;18-30;Not a Pedestrian;Driving carelessly;Slight Injury
23:25:00;Wednesday;Male;Junior high school;Employee;1-2yr;Other;Owner;unknown;unknown;Residential areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;3;Going straight;na;Not a Pedestrian;Changing lane to the left;Slight Injury
23:25:00;Wednesday;Male;unknown;Owner;5-10yr;Other;Owner;5-10yrs;unknown;Office areas;Two-way (divided with broken lines road marking);Tangent road with flat terrain;Crossing;Asphalt roads;Dry;Darkness - lights lit;Normal;Vehicle with vehicle collision;2;3;Reversing;na;Not a Pedestrian;No priority to vehicle;Slight Injury
07:40:00;Monday;Unknown;Junior high school;Employee;Below 1yr;Lorry (11?40Q);Owner;5-10yrs;unknown;Residential areas;Undivided Two way;Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;31-50;Not a Pedestrian;Changing lane to the right;Serious Injury
07:40:00;Monday;Male;Junior high school;Employee;2-5yr;unknown;Owner;2-5yrs;unknown;Office areas;Double carriageway (median);Tangent road with flat terrain;Y Shape;Asphalt roads;Dry;Daylight;Normal;Vehicle with vehicle collision;2;1;Going straight;na;Not a Pedestrian;No distancing;Serious Injury
